"学年","範囲","問題","答え","誤答候補"
"中1","生命（生物）","植物で，昼も夜も行われるのは，光合成と呼吸のどちらか。","呼吸",""
"中1","生命（生物）","葉の細胞の中に見られるたくさんの緑色の粒を何というか。","葉緑体",""
"中1","生命（生物）","葉の表皮に見られ，気体の出入り口となる，一対の三日月形の細胞に囲まれたすき間を何というか。","気孔",""
"中1","生命（生物）","気孔が多いのは，いっぱんに葉の表側と裏側のどちらか。","裏側",""
"中1","生命（生物）","若い根の先端に見られ，根を土に固定し，水や水にとけた養分を吸収するはたらきをもつ細かい毛のようなものを何というか。","根毛",""
"中1","生命（生物）","根・茎・葉を通してつながっていて，根から吸収した水や水にとけた養分を通す管を何というか。","道管",""
"中1","生命（生物）","根・茎・葉を通してつながっていて，葉でつくられた養分を通す管を何というか。","師管",""
"中1","生命（生物）","葉でつくられたデンプンが変えられてできた水にとけやすい物質を何というか。","糖",""
"中1","生命（生物）","道管や師管が束のように集まっている部分を何というか。","維管束",""
"中1","生命（生物）","根から吸収し，葉へ運ばれた水が，水蒸気となって空気中へ出ていく現象を何というか。","蒸散",""
"中1","生命（生物）","被子植物のなかまのうち，芽生えの子葉が１枚のなかまを何というか。","単子葉類",""
"中1","生命（生物）","被子植物のなかまのうち，芽生えの子葉が２枚のなかまを何というか。","双子葉類",""
"中1","生命（生物）","茎の横断面の維管束が輪の形に並んでいるのは，単子葉類か双子葉類か。","双子葉類",""
"中1","生命（生物）","単子葉類の葉脈は，平行脈か網状脈か。","平行脈",""
"中1","生命（生物）","双子葉類のうち，花びらが１枚くっついているなかまを何というか。","合弁花類",""
"中1","生命（生物）","肉食動物で，大きく発達していて，えものをとらえたり，肉を引きさくのに適している歯を何というか。","犬歯",""
"中1","生命（生物）","目のように，まわりのようすを刺激として受けとる器官を何というか。","感覚器官",""
"中1","生命（生物）","目のつくりで，光の刺激を受けとる細胞があり，像を結ぶところを何というか。","網膜",""
"中1","生命（生物）","脳とせきずいからなる神経を何というか。","中枢神経(系)",""
"中1","生命（生物）","脳やせきずいから出て細かく枝分かれし，からだのすみずみまでいきわたっている神経を何というか。","末しょう神経(系)",""
"中1","生命（生物）","刺激に対して，無意識に起こる反応を何というか。","反射",""
"中1","生命（生物）","炭水化物，子房，タンパク質などのように，炭素をふくみ，燃やすと二酸化炭素を発生する物質を何というか。","有機物",""
"中1","生命（生物）","食物の成分を分解し，吸収しやすい養分に変える，決まった物質にだけはたらくものを何というか。","消化酵素(酵素)",""
"中1","生命（生物）","肝臓でつくられ，消化酵素はふくんでいないが，脂肪の消化を助けるはたらきをする物質を何というか。","胆汁",""
"中1","生命（生物）","デンプンは，消化されて最終的に何という物質になって吸収されるか。","ブドウ糖",""
"中1","生命（生物）","タンパク質は，消化されて最終的に何という物質になって吸収されるか。","アミノ酸",""
"中1","粒子（化学）","炭素や水素を含むものを特に何というか。（加熱すると二酸化炭素や水が発生する）","有機物",""
"中1","粒子（化学）","状態変化で、固体・液体・あと一つは何か。","気体",""
"中1","地学（地球）","地下にある高温でどろどろにとけた状態の岩石をなんというか。","マグマ",""
"中1","地学（地球）","噴火のようすや火山の形は、何によって決まるか。","マグマのねばりけ",""
"中1","地学（地球）","火山噴出物が黒っぽいものは、マグマのねばりけの強いものと弱いもののどちらか。","弱いもの",""
"中1","地学（地球）","火山噴出物はマグマが冷えてできた粒をふくんでいるが、これらの粒のうち、結晶になったものを何というか。","鉱物",""
"中1","地学（地球）","セキエイやチョウ石のように白っぽい色をした鉱物を何というか。","無色鉱物（白色鉱物）",""
"中1","地学（地球）","ウンモやキ石のいように、色のついた鉱物を何というか。","有色鉱物",""
"中1","地学（地球）","黒色で、決まった方向にうすくはがれる鉱物は何か。","ウンモ",""
"中1","地学（地球）","マグマが冷えて固まった岩石を何というか。","火成岩",""
"中1","地学（地球）","マグマが地下の深いところで、ゆっくりと冷えて固まった岩石を何というか。","深成岩",""
"中1","地学（地球）","マグマが地表や地表近くで、急に冷えて固まってできた岩石を何というか。","火山岩",""
"中1","地学（地球）","深成岩のように、同じくらいの大きさの鉱物がきっちりと組み合わさっている岩石の作りを何というか。","等粒状組織",""
"中1","地学（地球）","火成岩のつくりで、結晶になれなかった部分を何というか。","石基",""
"中1","地学（地球）","火成岩のつくりで、まばらにふくまれている鉱物の部分を何というか。","斑晶",""
"中1","地学（地球）","火山岩のように、大きな鉱物の部分と結晶になれなかった部分でできている岩石のつくりをなんというか。","斑状組織",""
"中1","地学（地球）","安山岩は、火山岩と深成岩のどちらか。","火山岩",""
"中1","地学（地球）","地下で地震の揺れが発生した場所を何というか。","震源",""
"中1","地学（地球）","震源の真上の地表の地点をなんというか。","震央",""
"中1","地学（地球）","地震のとき、はじめにくる小さな揺れをなんというか。","初期微動",""
"中1","地学（地球）","地震のとき、あとからくる大きな揺れをなんというか。","主要動",""
"中1","地学（地球）","初期微動を伝える速い波を何というか。","Ｐ波",""
"中1","地学（地球）","主要動を伝える遅い波を何というか。","Ｓ波",""
"中1","地学（地球）","初期微動が始まってから主要動が始まるまでの時間をなんと言うか。","初期微動継続時間",""
"中1","地学（地球）","初期微動継続時間と比例しているのは何か。","震源からの距離",""
"中1","地学（地球）","観測地点での地震による揺れの強さは何で表されるか。","震度",""
"中1","地学（地球）","地震のエネルギーの大きさ（規模）を表したものをなんというか。","マグニチュード",""
"中1","地学（地球）","いっぱんに、震源から遠ざかると震度はどうなるか。","小さくなる",""
"中1","地学（地球）","地震によって大地が持ち上がることを何というか。","隆起",""
"中1","地学（地球）","地震によって大地がしずむことを何というか。","沈降",""
"中1","地学（地球）","海底で大規模な地震がおこったときに生じる大きな波を何というか。","津波",""
"中1","地学（地球）","地震で出来る大地のくいちがい（ずれ）を何というか。","断層",""
"中1","地学（地球）","地球の表面をおおっている厚さ100ｋｍ程度の岩盤のことをなんというか","プレート",""
"中1","地学（地球）","岩石が長い間に表面からくずれていく現象を何というか。","風化",""
"中1","地学（地球）","流水のはたらきは３つあるが、運ぱん、堆積ともう1つ、陸地や岩石がけずられていく現象を何というか。","侵食",""
"中1","地学（地球）","海底や湖底、河原に積もった堆積物が長い間に押し固められてできた岩石を何というか。","堆積岩",""
"中1","地学（地球）","れき・砂・泥が固まってできた堆積岩のうち、岩石をつくっている粒の大きさが0.06～2ｍｍ未満の岩石を何というか。","砂岩",""
"中1","地学（地球）","れき岩・砂岩・泥岩に共通した粒の特徴は何か。","まるみをおびている",""
"中1","地学（地球）","生物の遺がいや水に溶け込んでいた成分が堆積して固まった岩石で、塩酸をかけると二酸化炭素が発生するものは何か。","石灰岩",""
"中1","地学（地球）","生物の遺がいや水に溶け込んでいた成分が堆積して固まった岩石で、塩酸をかけても気体が発生しないものは何か。","チャート",""
"中1","地学（地球）","火山灰などの火山噴出物が堆積してできた岩石をなんというか。","凝灰岩",""
"中1","地学（地球）","大昔の生物の死がいや足跡、すんでいた跡などが地層の中に残されたものを何というか。","化石",""
"中1","地学（地球）","地層が堆積した当時の環境を知ることができる化石を何というか。","示相化石",""
"中1","地学（地球）","地層が堆積した時代を知るのに役立つ化石を何というか。","示準化石",""
"中1","地学（地球）","アンモナイトの化石が発見された地層が堆積した時代は、古生代、中生代、新生代のいつか。","中生代",""
"中1","地学（地球）","ナウマンゾウの化石が発見された地層が堆積した時代は、古生代、中生代、新生代のいつか。","新生代",""
"中1","地学（地球）","サンヨウチュウの化石が発見された地層が堆積した時代は、古生代、中生代、新生代のいつか。","古生代",""
"中1","地学（地球）","サンゴの化石が発見された地層が堆積した当時の環境はどのようであったか。","あたたかくきれいな浅い海",""
"中1","地学（地球）","水平に重なっている地層で、古い地層と考えられるのは、上の地層と下の地層のどちらか。","下の地層",""
"中1","地学（地球）","凝灰岩でできた地層が発見された地域では、冬至この付近でどのような大地の変化があったと考えられるか。","火山の噴火（火山活動）",""
"中1","エネルギー（物理）","自ら光を出している物体のことを何というか。","光源",""
"中1","エネルギー（物理）","光が物体に当たってはね返ることを何というか。","反射",""
"中1","エネルギー（物理）","光の反射で，入射角と反射角の関係を＝，＜，＞の記号で表すとどのように表せるか。","入射角＝反射角",""
"中1","エネルギー（物理）","鏡などに物体がうつって見ているものをその物体の何というか。","像",""
"中1","エネルギー（物理）","光が種類の異なる物質へ進むとき，物質の境界面で進む方向が変わる現象を何というか。","屈折",""
"中1","エネルギー（物理）","光が水中やガラス中から空気中に進むとき，入射角をある大きさ以上にすると，光がすべて境界面で反射する現象を何というか。","全反射",""
"中1","エネルギー（物理）","凸レンズの軸に平行な光がレンズを通過したあと，屈折して集まる点のことを何というか。","焦点",""
"中1","エネルギー（物理）","凸レンズの中心から焦点までの距離を何というか。","焦点距離",""
"中1","エネルギー（物理）","物体を凸レンズの焦点の外側に置いたとき，レンズをはさんで物体と反対側にできる，物体と逆さまの像を何というか。","実像",""
"中1","エネルギー（物理）","凸レンズによってできる像が物体と同じ大きさになるのは，物体をどの位置に置いたときか。","焦点距離の2倍の位置",""
"中1","エネルギー（物理）","物体を凸レンズの焦点上に置いたとき，像はどうなるか。","像はできない",""
"中1","エネルギー（物理）","物体を凸レンズの焦点の内側に置いたとき，凸レンズの反対から見える像を何というか。","虚像",""
"中1","エネルギー（物理）","凸レンズを通して同じ向きに見える像の大きさは，どのように見えるか。","大きく見える",""
"中1","エネルギー（物理）","音が出ている物体はどのような運動をしているか。","振動",""
"中1","エネルギー（物理）","音と光では，どちらの伝わる速さが速いか。","光",""
"中1","エネルギー（物理）","弦などが振動するはばのことを何というか。","振幅",""
"中1","エネルギー（物理）","一定時間(１秒間)に振動する回数のことを何というか。","振動数",""
"中1","エネルギー（物理）","弦の張り方が弱いほど，どのような音になるか。","低い音",""
"中1","エネルギー（物理）","弦の太さが細いほど，どのような音になるか。","高い音",""
"中1","エネルギー（物理）","弦の長さが長いほど，どのような音になるか。","低い音",""
"中1","エネルギー（物理）","弦を強く弾くほど，どのような音になるか。","大きい音",""
"中1","エネルギー（物理）","地球が物体を地球の中心に向かって引っ張ろうとする力を何というか。","重力",""
"中1","エネルギー（物理）","力の大きさの単位で，約100ｇの物体にはたらく重力の大きさはいくらか。","１ニュートン(N)",""
"中1","エネルギー（物理）","物体にはたらく重力の大きさのことを何というか。","重さ",""
"中1","エネルギー（物理）","力を矢印で表したとき，矢印の根元の点で，力のはたらいている点を何というか。","作用点",""
"中1","エネルギー（物理）","力を矢印で表したとき，矢印の長さは何を示すか。","力の大きさ",""
"中1","エネルギー（物理）","物体を面の上に置くと，物体がその面から垂直に受ける力を何というか。","抗力(垂直抗力)",""
"中1","エネルギー（物理）","物体を面の上に置き，物体を動かしたとき，物体を動かそうとする向きとは逆向きにはたらく力を何というか。","摩擦力",""
"中1","エネルギー（物理）","１つの物体に２つの力がはたらいていて物体が動かないとき，これらの力の関係を何というか。","つり合っている",""
"中1","エネルギー（物理）","２つの力がつり合うときの３つの条件とは何か。","力の大きさが同じ，力の向きが逆，一直線上にある",""
"中1","エネルギー（物理）","面を垂直におす力〔N〕 力を受ける面積〔㎡〕 で表されるのは何か。","圧力〔Pa〕",""
"中1","エネルギー（物理）","圧力の大きさの単位Ｐａを何と読むか。","パスカル",""
"中1","エネルギー（物理）","同じ大きさの力がはたらいているとき，面積が小さいほど，圧力はどうなるか。","大きくなる",""
"中1","エネルギー（物理）","地球をとりまく空気の重さによる圧力を何というか。","大気圧(気圧)",""
"中1","エネルギー（物理）","海面上にはたらく大気圧の大きさは約1013Ｐａであるが，これは何気圧か。","１気圧",""
"中2","生命（生物）","脂肪は，消化されて２種類の物質になるが，何と何になるか。","脂肪酸，モノグリセリド",""
"中2","生命（生物）","糖の検出に用いる試薬で，糖をふくむ溶液とともに熱すると，赤かっ色の沈殿を生じる試薬は何か。","ベネジクト液",""
"中2","生命（生物）","消化された養分が吸収される器官はどこか。","小腸",""
"中2","生命（生物）","小腸の内側のひだに無数にあり，消化された養分を効率よく吸収するはたらきをする小さな突起を何というか。","柔毛",""
"中2","生命（生物）","ブドウ糖とアミノ酸は，柔毛の中の毛細血管とリンパ管のどちらに入るか。","毛細血管",""
"中2","生命（生物）","脂肪酸とグリセリンは，柔毛に吸収されふたたび脂肪となったあと，柔毛の中の毛細血管とリンパ管のどちらに入るか。","リンパ管",""
"中2","生命（生物）","小腸で吸収されたブドウ糖とアミノ酸が，血管を通ってはじめに運ばれる器官はどこか。","肝臓",""
"中2","生命（生物）","気管支の先についている小さな袋で，毛細血管に取り囲まれている部分を何というか。","肺胞",""
"中2","生命（生物）","血液の成分で，まるい形をしていて，酸素をからだの各部分に運ぶはたらきをするものを何というか。","赤血球",""
"中2","生命（生物）","血液の成分で，からだの中に入ってきた細菌をとらえるはたらきをするものを何というか。","白血球",""
"中2","生命（生物）","血液の液体の成分で，吸収された養分やからだの中でできた二酸化炭素などをとかしこんで運ぶものを何というか。","血しょう",""
"中2","生命（生物）","血液の成分で，出血したときに血液が固まるのに役立っているものを何というか。","血小板",""
"中2","生命（生物）","赤血球にふくまれ，酸素の多いところでは酸素と結びつき，酸素の少ないところでは酸素をはなす性質がある物質は何か。","ヘモグロビン",""
"中2","生命（生物）","心臓から血液が送り出される血管を何というか。","動脈",""
"中2","生命（生物）","肺やからだの各部から心臓にもどる血液が流れる血管を何というか。","静脈",""
"中2","生命（生物）","血液が逆流しないように，静脈のところどころにあるものを何というか。","弁",""
"中2","生命（生物）","二酸化炭素を多くふくんだ血液を何というか。","静脈血",""
"中2","生命（生物）","酸素を多くふくんだ血液を何というか。","動脈血",""
"中2","生命（生物）","ヒトの体内にできたアンモニアは，何という物質に変えられて排出されるか。","尿素",""
"中2","生命（生物）","ヒトのからだの中で，有害なアンモニアを毒性の弱い物質につくり変える器官はどこか。","肝臓",""
"中2","生命（生物）","尿素などの不要物血液中からこしとるはたらきをもつ，ソラマメのような形をした器官を何というか。","じん臓",""
"中2","生命（生物）","背骨のある動物を何というか。","セキツイ動物",""
"中2","生命（生物）","背骨のない動物を何というか。","無セキツイ動物",""
"中2","生命（生物）","セキツイ動物で，子のときはえらで呼吸し，成長すると肺と皮膚で呼吸する動物のなかまを何というか。","両生類",""
"中2","生命（生物）","セキツイ動物で，からだは羽毛でおおわれていて，殻のある卵を陸上にうみ，肺で呼吸する動物のなかまを何というか。","鳥類",""
"中2","生命（生物）","セキツイ動物で，からだはふつう毛でおおわれ，子をうみ，親の乳で子を育てる動物のなかまを何というか。","ホニュウ類",""
"中2","生命（生物）","卵をうみ，卵から子がかえるというなかまのふやし方を何というか。","卵生",""
"中2","生命（生物）","子が母体内である程度まで育ってからうまれるというなかまのふやし方を何というか。","胎生",""
"中2","生命（生物）","まわりの温度が変わっても体温を一定に保つことができる動物を何というか。","恒温動物",""
"中2","生命（生物）","まわりの温度が変わるにつれて体温も変化する動物を何というか。","変温動物",""
"中2","生命（生物）","セキツイ動物のうち，恒温動物はホニュウ類と何類か。","鳥類",""
"中2","生命（生物）","からだが１個の細胞でできている生物を何というか。","単細胞生物",""
"中2","生命（生物）","細胞のつくりで，ふつう１個の細胞に１個あり，染色液などで赤く染まる部分を何というか。","核",""
"中2","生命（生物）","細胞のつくりで，細胞が包まれているうすい膜を何というか。","細胞膜",""
"中2","生命（生物）","植物の細胞で，植物のからだを支えるのに役立っているじょうぶなつくりを何というか。","細胞壁",""
"中2","生命（生物）","植物の細胞の中にたくさんある，光合成を行う小さな粒を何というか。","葉緑体",""
"中2","生命（生物）","１つの細胞が２つの細胞に分かれることを何というか。","細胞分裂",""
"中2","生命（生物）","細胞分裂を観察するとき，核を染めるのに用いる染色液は何か。","酢酸カーミン液(酢酸オルセイン液)",""
"中2","生命（生物）","細胞分裂がはじまったときに核の中に現れるひものようなものを何というか。","染色体",""
"中2","生命（生物）","生物のからだが成長するのは，細胞分裂によって細胞の数がふえることと，分かれたあとの細胞がどうなることによるか。","大きくなること",""
"中2","生命（生物）","生物が，自分と同じ種類の子孫をつくるはたらきを何というか。","生殖",""
"中2","粒子（化学）","もとの物質とはちがう別の物質ができる変化を何というか。","化学変化（化学反応）",""
"中2","粒子（化学）","１種類の物質が１種類以上の別の物質に分かれる化学変化を何というか。","分解",""
"中2","粒子（化学）","水にふれると青色から赤（桃）色に変化する試験紙は何か。","塩化コバルト紙",""
"中2","粒子（化学）","アルカリ性の溶液に入れると、赤色に変化する溶液は何か。","フェノールフタレイン溶液",""
"中2","粒子（化学）","物質に電流を流して分解することを何というか。","電気分解",""
"中2","粒子（化学）","物質をつくる最小の粒子を何というか。","原子",""
"中2","粒子（化学）","原子はそれ以上分けることができるか。","できない",""
"中2","粒子（化学）","原子は、種類ごとに質量が決まっているか。","決まっている",""
"中2","粒子（化学）","酸素の化学式を答えよ。","○２",""
"中2","粒子（化学）","いくつかの原子が結びついてできた粒子を何というか。","分子",""
"中2","粒子（化学）","化合してできた物質を何というか。","化合物",""
"中2","粒子（化学）","原子の記号を使って物質を表したものを何というか。","化学式",""
"中2","粒子（化学）","１種類の原子だけでできている物質を何というか。","単体",""
"中2","粒子（化学）","２種類以上の原子でできている物質を何というか。","化合物",""
"中2","粒子（化学）","化学変化のようすを化学式を用いて表した式を何というか。","化学反応式",""
"中2","粒子（化学）","2種類以上の物質が結びついて、別の物質ができる化学変化を何というか。","化合",""
"中2","粒子（化学）","物質が酸素と化合することを何というか。","酸化",""
"中2","粒子（化学）","光や熱を出しながら激しく進む酸化を何というか。","燃焼",""
"中2","粒子（化学）","酸化物が酸素をうばわれる化学変化を何というか。","還元",""
"中2","粒子（化学）","還元と同時に起こる化学変化を何というか。","酸化",""
"中2","粒子（化学）","化学変化の前後では、全体の質量が変化しない。このことを何というか。","質量保存の法則",""
"中2","粒子（化学）","化学変化に関係する物質の質量の比は、いつも一定といえるか。","いえる",""
"中2","粒子（化学）","周囲に熱を発生する化学変化を何というか。","発熱反応",""
"中2","粒子（化学）","周囲から熱を吸収する化学変化を何というか。","吸熱反応",""
"中2","粒子（化学）","鉄粉が空気中の酸素と結びつき、温度が上がる反応を利用したものには、何があるか。","（化学）かいろ",""
"中2","粒子（化学）","炭酸水素ナトリウムを加熱したときに発生する気体は何か。","二酸化炭素",""
"中2","粒子（化学）","二酸化炭素を石灰水に通すと、石灰水はどうなるか。","白くにごる",""
"中2","粒子（化学）","炭酸水素ナトリウムを加熱したときに液体になって現れる物質は何か。","水",""
"中2","粒子（化学）","同じ体積の水に同じ質量の炭酸水素ナトリウム、炭酸ナトリウムをそれぞれ溶かし、フェノールフタレイン溶液を入れると、濃い赤色になるのはどちらか。","炭酸ナトリウム",""
"中2","粒子（化学）","酸化銀を加熱すると、何という物質ができるか。２つ書け。","銀・酸素",""
"中2","粒子（化学）","水の電気分解で、電流を流しやすくするために、水に溶かす物質は何か。","水酸化ナトリウム",""
"中2","粒子（化学）","水の電気分解で、陽極（＋極）に発生する気体は何か。","酸素",""
"中2","粒子（化学）","亜鉛を原子の記号で表せ。","Zn",""
"中2","粒子（化学）","金属が空気中の酸素とゆっくりと化合すると、何ができるか。","さび",""
"中2","粒子（化学）","アンモニアを化学式で表せ。","ＮＨ３",""
"中2","粒子（化学）","二酸化炭素・水素・水のうち、単体はどれか。","水素",""
"中2","粒子（化学）","アルミニウム・酸化鉄・酸素のうち、化合物はどれか。","酸化鉄",""
"中2","粒子（化学）","メタン・窒素・酸化銅のうち、分子をつくらないものはどれか。","酸化銅",""
"中2","粒子（化学）","マグネシウムを燃やすと、何という物質ができるか。","酸化マグネシウム",""
"中2","粒子（化学）","酸化マグネシウムを化学式で表せ。","MgO",""
"中2","粒子（化学）","鉄と硫黄の混合物を加熱すると、何という物質ができるか。","硫化鉄",""
"中2","粒子（化学）","鉄と硫黄の化合の化学変化を化学反応式で表せ。","Fe＋S→FeS",""
"中2","粒子（化学）","炭素を完全に燃やすと、何という物質ができるか。","二酸化炭素",""
"中2","粒子（化学）","炭素と酸素の化合を化学反応式で表せ。","C+O2→CO2",""
"中2","粒子（化学）","水素と酸素の混合気体に炎を近づけると、爆発して何という物質ができるか。","水",""
"中2","粒子（化学）","水ができる時の反応を化学反応式で表せ。","２H2＋O2→２H２O",""
"中2","粒子（化学）","酸化銅と炭素の化合物を加熱すると、銅と何という物質ができるか。","二酸化炭素",""
"中2","粒子（化学）","酸化銅と炭素の化合物を加熱したとき、還元されてできる物質は何か。","銅",""
"中2","粒子（化学）","硫黄が入った試験管の中に銅線を入れて加熱すると、何という物質ができるか。","硫化銅",""
"中2","粒子（化学）","塩酸と炭酸水素ナトリウムを密閉容器に入れて反応させたとき、反応の前後で質量はどうなるか。","変わらない",""
"中2","粒子（化学）","水酸化バリウムと塩化アンモニウムを反応させてできる気体は何か。","アンモニア",""
"中2","粒子（化学）","（53）の化学変化は、発熱反応・吸熱反応のどちらか。","吸熱反応",""
"中2","地学（地球）","天気図の記号で、◎の示す天気は何か。","くもり",""
"中2","地学（地球）","天気図の記号で、●の示す天気は何か。","雨",""
"中2","地学（地球）","天気図で、気圧が等しい地点を結んだ曲線を何というか。","等圧線",""
"中2","地学（地球）","等圧線は1000hPaを基準に、何hPaごとに引いてあるか。","４hPa",""
"中2","地学（地球）","等圧線は何hPaごとに太線にするか。","２０hPa",""
"中2","地学（地球）","風向は何方位で観測するか。","16方位",""
"中2","地学（地球）","雲量が2～8の天気は何か。","晴れ",""
"中2","地学（地球）","いっぱんに、気圧が高くなると天気はどうなるか。","よくなる",""
"中2","地学（地球）","晴れた日の湿度と気温の変化は、どのような関係にあるか。","逆の関係",""
"中2","地学（地球）","雨の日の湿度と気温の変化は大きいか、小さいか。","小さい",""
"中2","地学（地球）","空気が冷やされて、空気中の水蒸気が凝結して水滴ができはじめる温度を何というか。","露点",""
"中2","地学（地球）","１㎥の空気中にふくむことのできる最大の水蒸気量を何というか。","飽和水蒸気量",""
"中2","地学（地球）","飽和水蒸気量は気温が上がるとどのように変化するか。","大きくなる",""
"中2","地学（地球）","空気１㎥中にふくまれている水蒸気量が、その気温での飽和水蒸気量に対してどのくらいの割合かを百分率で表したものを何というか。","湿度（％）",""
"中2","地学（地球）","空気中の水蒸気量が変わらす、気温が高くなると、湿度はどうなるか。","小さくなる（低くなる）",""
"中2","地学（地球）","空気中の水蒸気量が変わらず、気温が高くなると、露点はどうなるか。","変わらない",""
"中2","地学（地球）","密封された菓子ぶくろを高い山に持っていくと、ぱんぱんにふくらむ。これはふくろ中の空気がどうなるからか。","膨張するから",""
"中2","地学（地球）","高度が上がるほど（上空にいくほど）気圧はどうなるか。","低くなる",""
"中2","地学（地球）","空気のかたまりが上昇して露点に達し、細かい水滴や氷の粒となって上空に浮かんだものを何というか。","雲",""
"中2","地学（地球）","地表付近の空気がその場所で冷やされて露天に達し、細かい水滴になって浮かんだものを何というか。","霧",""
"中2","地学（地球）","雲をつくる水滴や氷の粒が水滴となって地表に落ちてきたものを何というか。","雨",""
"中2","地学（地球）","空から地表に降ってくる雨や雪などをまとめて何というか。","降水",""
"中2","地学（地球）","まわりより気圧の高いところを何というか。","高気圧",""
"中2","地学（地球）","まわりより気圧が低いところを何というか。","低気圧",""
"中2","地学（地球）","気圧の高いところから低いところへ向かう大気の流れを何というか。","風",""
"中2","地学（地球）","低気圧の中心部で吹いている上下方向の風の流れを何というか。","上昇気流",""
"中2","地学（地球）","高気圧の中心部で吹いている上下方向の風の流れを何というか。","下降気流",""
"中2","地学（地球）","雲ができやすいのは上昇気流と下降気流のどちらがあるところか。","上昇気流",""
"中2","地学（地球）","北半球で、上から見て中心から時計まわりに風が吹き出しているのは、高気圧と低気圧のどちらか。","高気圧",""
"中2","地学（地球）","北半球で、上から見て中心へ反時計回りに風が吹きこんでいるのは、高気圧と低気圧のどちらか。","低気圧",""
"中2","地学（地球）","気温や湿度などの性質がほぼ一様な空気のかたまりを何というか。","気団",""
"中2","地学（地球）","性質の異なる2つの気団が接した境の面を何というか。","前線面",""
"中2","地学（地球）","前線面が地表に接しているところを何というか。","前線",""
"中2","地学（地球）","寒気が暖気をおしあげるようにして進むときにできる前線を何というか。","寒冷前線",""
"中2","地学（地球）","暖気が寒気にはい上がるようにして進むときにできる前線を何というか。","温暖前線",""
"中2","地学（地球）","寒気と暖気の勢力がほぼ同じで、ほとんど動かない前線を何というか。","停滞前線",""
"中2","地学（地球）","寒冷前線が温暖前線に追いついて重なってできた前線を何というか。","へいそく前線",""
"中2","地学（地球）","温暖前線通過後、気温はどう変わるか。","上がる",""
"中2","地学（地球）","寒冷前線通過後、気温はどう変わるか。","下がる",""
"中2","地学（地球）","いっぱんに、日本付近の天気は、どちらからどちらへ変わっていくか。","西から東",""
"中2","地学（地球）","地球の北極と南極を結んだ軸を何というか。","地軸",""
"中2","地学（地球）","地球が地軸を軸として、西から東へ1日1回転していることを何というか。","自転",""
"中2","地学（地球）","北の空の星は、何という星を中心に動いているように見えるか。","北極星",""
"中2","地学（地球）","太陽（天体）が真南にくることをなんというか。また、このときの高度をなんというか。","南中、南中高度",""
"中2","地学（地球）","地球が太陽を中心として、そのまわりを1年の秋季で回っている運動のことをなんというか。","公転",""
"中2","地学（地球）","太陽の南中高度がもっとも高くなる日を何というか。","夏至の日",""
"中2","地学（地球）","太陽の南中高度がもっとも低くなる日を何というか。","冬至の日",""
"中2","地学（地球）","太陽の表面にある、黒いしみのように見える部分をなんというか。","黒点",""
"中2","地学（地球）","太陽、月、地球がこの順で一直線に並んだときに、つきが太陽をかくす現象を何というか。","日食",""
"中2","地学（地球）","太陽や星座をつくる星のように、みずから光を出してかがやいている星を何というか。","恒星",""
"中2","地学（地球）","太陽の光を反射してかがやいており、星座の星の間をさまようように動いて見える星を何というか。","惑星",""
"中2","地学（地球）","太陽系をふくむ銀河のことをなんというか。","銀河系",""
"中2","エネルギー（物理）","ちがう種類の物質をたがいに摩擦したときに発生する電気を何というか。","静電気(摩擦電気)",""
