"学年","範囲","問題","答え","誤答候補"
"中1","生命（生物）","マツ，スギ，タンポポ，ソテツのうち，胚珠が子房につつまれている植物はどれか。","タンポポ","マツ;スギ;ソテツ"
"中1","生命（生物）","植物の葉が光を受けてデンプンなどの養分をつくるはたらきを何というか。","光合成","呼吸;蒸散;消化;吸収;発酵;同化;燃焼"
"中1","生命（生物）","光合成が行われるところはどこか。","葉緑体","葉脈;気孔;細胞質;核;ミトコンドリア;液胞;細胞壁"
"中1","生命（生物）","デンプンの検出に用いる試薬で，デンプンと反応して青むらさき色を示す試薬は何か。","ヨウ素液","ベネジクト液;BTB溶液;石灰水;フェノールフタレイン溶液;塩化コバルト紙;リトマス紙;酢酸カーミン液"
"中1","生命（生物）","植物で，昼も夜も行われるのは，光合成と呼吸のどちらか。","呼吸","光合成;蒸散;同化;発酵;消化;吸収;成長"
"中1","生命（生物）","葉の細胞の中に見られるたくさんの緑色の粒を何というか。","葉緑体","気孔;葉脈;細胞核;液胞;ミトコンドリア;細胞壁;細胞膜"
"中1","生命（生物）","葉の表皮に見られ，気体の出入り口となる，一対の三日月形の細胞に囲まれたすき間を何というか。","気孔","葉緑体;道管;師管;根毛;蒸散;孔辺細胞;表皮"
"中1","生命（生物）","気孔が多いのは，いっぱんに葉の表側と裏側のどちらか。","裏側","表側"
"中1","生命（生物）","若い根の先端に見られ，根を土に固定し，水や水にとけた養分を吸収するはたらきをもつ細かい毛のようなものを何というか。","根毛","道管;師管;根冠;気孔;繊毛;主根;側根"
"中1","生命（生物）","根・茎・葉を通してつながっていて，根から吸収した水や水にとけた養分を通す管を何というか。","道管","師管;維管束;師部;木部;形成層;根毛;気孔"
"中1","生命（生物）","根・茎・葉を通してつながっていて，葉でつくられた養分を通す管を何というか。","師管","道管;維管束;木部;師部;形成層;根毛;気孔"
"中1","生命（生物）","葉でつくられたデンプンが変えられてできた水にとけやすい物質を何というか。","糖","デンプン;ブドウ糖;脂肪;タンパク質;セルロース;グリコーゲン;アミノ酸"
"中1","生命（生物）","道管や師管が束のように集まっている部分を何というか。","維管束","道管;師管;形成層;木部;師部;表皮;葉脈"
"中1","生命（生物）","根から吸収し，葉へ運ばれた水が，水蒸気となって空気中へ出ていく現象を何というか。","蒸散","呼吸;光合成;吸収;発汗;蒸発;吸水;排出"
"中1","生命（生物）","被子植物のなかまのうち，芽生えの子葉が１枚のなかまを何というか。","単子葉類","双子葉類;合弁花類;離弁花類;被子植物;裸子植物;シダ植物;胞子植物"
"中1","生命（生物）","被子植物のなかまのうち，芽生えの子葉が２枚のなかまを何というか。","双子葉類","単子葉類;合弁花類;離弁花類;被子植物;裸子植物;シダ植物;胞子植物"
"中1","生命（生物）","茎の横断面の維管束が輪の形に並んでいるのは，単子葉類か双子葉類か。","双子葉類","単子葉類"
"中1","生命（生物）","単子葉類の葉脈は，平行脈か網状脈か。","平行脈","網状脈"
"中1","生命（生物）","双子葉類のうち，花びらが１枚くっついているなかまを何というか。","合弁花類","離弁花類;単子葉類;双子葉類;被子植物;裸子植物;単性花類;多弁花類"
"中1","生命（生物）","肉食動物で，大きく発達していて，えものをとらえたり，肉を引きさくのに適している歯を何というか。","犬歯","門歯;臼歯;切歯;前歯;奥歯;乳歯;親知らず"
"中1","生命（生物）","目のように，まわりのようすを刺激として受けとる器官を何というか。","感覚器官","運動器官;効果器;受容器;感覚神経;中枢神経;反射;末しょう神経"
"中1","生命（生物）","目のつくりで，光の刺激を受けとる細胞があり，像を結ぶところを何というか。","網膜","角膜;水晶体;ひとみ;こうさい;視神経;盲斑;レンズ"
"中1","生命（生物）","脳とせきずいからなる神経を何というか。","中枢神経(系)","末しょう神経;感覚神経;運動神経;せきずい;自律神経;反射神経;交感神経"
"中1","生命（生物）","脳やせきずいから出て細かく枝分かれし，からだのすみずみまでいきわたっている神経を何というか。","末しょう神経(系)","中枢神経;せきずい;脳;反射;神経細胞;ニューロン;シナプス"
"中1","生命（生物）","刺激に対して，無意識に起こる反応を何というか。","反射","随意運動;条件反射;反応;興奮;反射弓;意識;命令"
"中1","生命（生物）","炭水化物，子房，タンパク質などのように，炭素をふくみ，燃やすと二酸化炭素を発生する物質を何というか。","有機物","無機物;混合物;化合物;単体;ミネラル;窒素化合物;無機塩類"
"中1","生命（生物）","食物の成分を分解し，吸収しやすい養分に変える，決まった物質にだけはたらくものを何というか。","消化酵素(酵素)","胆汁;消化液;ホルモン;だ液;胃液;すい液;消化管"
"中1","生命（生物）","肝臓でつくられ，消化酵素はふくんでいないが，脂肪の消化を助けるはたらきをする物質を何というか。","胆汁","消化酵素;だ液;胃液;すい液;胆のう;ホルモン;インスリン"
"中1","生命（生物）","デンプンは，消化されて最終的に何という物質になって吸収されるか。","ブドウ糖","アミノ酸;脂肪酸;モノグリセリド;グリコーゲン;麦芽糖;デンプン;乳酸"
"中1","生命（生物）","タンパク質は，消化されて最終的に何という物質になって吸収されるか。","アミノ酸","ブドウ糖;脂肪酸;モノグリセリド;ペプチド;尿素;タンパク質;グリセリン"
"中1","粒子（化学）","炭素や水素を含むものを特に何というか。（加熱すると二酸化炭素や水が発生する）","有機物","無機物;混合物;化合物;単体;ミネラル;無機塩類;炭素"
"中1","粒子（化学）","状態変化で、固体・液体・あと一つは何か。","気体","プラズマ;水蒸気;結晶;蒸気;ガス;ゲル;粉末"
"中1","地学（地球）","地下にある高温でどろどろにとけた状態の岩石をなんというか。","マグマ","溶岩;マントル;火山灰;地殻;火成岩;鉱物;よう岩流"
"中1","地学（地球）","噴火のようすや火山の形は、何によって決まるか。","マグマのねばりけ","マグマの温度;マグマの量;マグマの色;噴火の回数;ガスの量;地下の深さ;気温"
"中1","地学（地球）","火山噴出物が黒っぽいものは、マグマのねばりけの強いものと弱いもののどちらか。","弱いもの","強いもの"
"中1","地学（地球）","火山噴出物はマグマが冷えてできた粒をふくんでいるが、これらの粒のうち、結晶になったものを何というか。","鉱物","結晶;岩石;火山灰;斑晶;石基;鉱石;堆積物"
"中1","地学（地球）","セキエイやチョウ石のように白っぽい色をした鉱物を何というか。","無色鉱物（白色鉱物）","有色鉱物;クロウンモ;カクセン石;キ石;カンラン石;磁鉄鉱;黒色鉱物"
"中1","地学（地球）","ウンモやキ石のいように、色のついた鉱物を何というか。","有色鉱物","無色鉱物;セキエイ;チョウ石;白色鉱物;石英;長石;透明鉱物"
"中1","地学（地球）","黒色で、決まった方向にうすくはがれる鉱物は何か。","ウンモ","セキエイ;チョウ石;カクセン石;キ石;カンラン石;磁鉄鉱;石英"
"中1","地学（地球）","マグマが冷えて固まった岩石を何というか。","火成岩","堆積岩;変成岩;凝灰岩;石灰岩;砂岩;泥岩;れき岩"
"中1","地学（地球）","マグマが地下の深いところで、ゆっくりと冷えて固まった岩石を何というか。","深成岩","火山岩;堆積岩;凝灰岩;変成岩;安山岩;玄武岩;流紋岩"
"中1","地学（地球）","マグマが地表や地表近くで、急に冷えて固まってできた岩石を何というか。","火山岩","深成岩;堆積岩;凝灰岩;変成岩;花こう岩;せん緑岩;はんれい岩"
"中1","地学（地球）","深成岩のように、同じくらいの大きさの鉱物がきっちりと組み合わさっている岩石の作りを何というか。","等粒状組織","斑状組織;石基;斑晶;結晶組織;層状組織;粒状組織;緻密組織"
"中1","地学（地球）","火成岩のつくりで、結晶になれなかった部分を何というか。","石基","斑晶;斑状組織;等粒状組織;結晶;鉱物;基質;母岩"
"中1","地学（地球）","火成岩のつくりで、まばらにふくまれている鉱物の部分を何というか。","斑晶","石基;斑状組織;等粒状組織;結晶;鉱物;基質;細粒"
"中1","地学（地球）","火山岩のように、大きな鉱物の部分と結晶になれなかった部分でできている岩石のつくりをなんというか。","斑状組織","等粒状組織;石基;斑晶;結晶組織;層状組織;粒状組織;緻密組織"
"中1","地学（地球）","安山岩は、火山岩と深成岩のどちらか。","火山岩","深成岩"
"中1","地学（地球）","地下で地震の揺れが発生した場所を何というか。","震源","震央;断層;震源域;発生点;プレート境界;活断層;マグニチュード"
"中1","地学（地球）","震源の真上の地表の地点をなんというか。","震央","震源;断層;震源域;発生点;マグニチュード;震度;活断層"
"中1","地学（地球）","地震のとき、はじめにくる小さな揺れをなんというか。","初期微動","主要動;余震;前震;本震;P波;S波;ゆれ"
"中1","地学（地球）","地震のとき、あとからくる大きな揺れをなんというか。","主要動","初期微動;余震;前震;本震;P波;S波;小きざみなゆれ"
"中1","地学（地球）","初期微動を伝える速い波を何というか。","Ｐ波","Ｓ波;表面波;よこ波;主要動;地震波;L波;表面波形"
"中1","地学（地球）","主要動を伝える遅い波を何というか。","Ｓ波","Ｐ波;表面波;たて波;初期微動;地震波;L波;主要波"
"中1","地学（地球）","初期微動が始まってから主要動が始まるまでの時間をなんと言うか。","初期微動継続時間","P-S時間;主要動継続時間;震源距離;到達時間;ゆれの時間;余震継続時間;地震継続時間"
"中1","地学（地球）","初期微動継続時間と比例しているのは何か。","震源からの距離","震度;マグニチュード;ゆれの大きさ;地震の規模;震源の深さ;P波の速さ;震央"
"中1","地学（地球）","観測地点での地震による揺れの強さは何で表されるか。","震度","マグニチュード;規模;震源距離;エネルギー;加速度;震源の深さ;マグニチュード階級"
"中1","地学（地球）","地震のエネルギーの大きさ（規模）を表したものをなんというか。","マグニチュード","震度;ゆれの強さ;震源距離;加速度;震度階級;深さ;距離"
"中1","地学（地球）","いっぱんに、震源から遠ざかると震度はどうなるか。","小さくなる","大きくなる;変わらない;強くなる;一定になる"
"中1","地学（地球）","地震によって大地が持ち上がることを何というか。","隆起","沈降;沈下;陥没;しゅう曲;断層;地割れ;しずむこと"
"中1","地学（地球）","地震によって大地がしずむことを何というか。","沈降","隆起;盛り上がり;しゅう曲;断層;地割れ;造山運動;噴火"
"中1","地学（地球）","海底で大規模な地震がおこったときに生じる大きな波を何というか。","津波","高潮;波浪;洪水;高波;海流;うねり;満潮"
"中1","地学（地球）","地震で出来る大地のくいちがい（ずれ）を何というか。","断層","しゅう曲;地割れ;隆起;沈降;節理;プレート;ひび"
"中1","地学（地球）","地球の表面をおおっている厚さ100ｋｍ程度の岩盤のことをなんというか","プレート","マントル;地殻;マグマ;地核;断層;岩石圏;海洋底"
"中1","地学（地球）","岩石が長い間に表面からくずれていく現象を何というか。","風化","侵食;運ぱん;堆積;崩壊;たい積;溶食;変質"
"中1","地学（地球）","流水のはたらきは３つあるが、運ぱん、堆積ともう1つ、陸地や岩石がけずられていく現象を何というか。","侵食","運ぱん;堆積;風化;たい積;崩壊;変成;隆起"
"中1","地学（地球）","海底や湖底、河原に積もった堆積物が長い間に押し固められてできた岩石を何というか。","堆積岩","火成岩;火山岩;深成岩;変成岩;花こう岩;玄武岩;安山岩"
"中1","地学（地球）","れき・砂・泥が固まってできた堆積岩のうち、岩石をつくっている粒の大きさが0.06～2ｍｍ未満の岩石を何というか。","砂岩","れき岩;泥岩;凝灰岩;石灰岩;チャート;せん緑岩;玄武岩"
"中1","地学（地球）","れき岩・砂岩・泥岩に共通した粒の特徴は何か。","まるみをおびている","角ばっている;平らである;するどい;つやがある;結晶になっている;層になっている;大きさが不ぞろい"
"中1","地学（地球）","生物の遺がいや水に溶け込んでいた成分が堆積して固まった岩石で、塩酸をかけると二酸化炭素が発生するものは何か。","石灰岩","チャート;砂岩;凝灰岩;れき岩;泥岩;石英;大理石"
"中1","地学（地球）","生物の遺がいや水に溶け込んでいた成分が堆積して固まった岩石で、塩酸をかけても気体が発生しないものは何か。","チャート","石灰岩;砂岩;凝灰岩;れき岩;泥岩;石英;火打ち石"
"中1","地学（地球）","火山灰などの火山噴出物が堆積してできた岩石をなんというか。","凝灰岩","石灰岩;砂岩;チャート;れき岩;泥岩;火山岩;火成岩"
"中1","地学（地球）","大昔の生物の死がいや足跡、すんでいた跡などが地層の中に残されたものを何というか。","化石","示準化石;示相化石;鉱物;痕跡;遺物;標本;岩石"
"中1","地学（地球）","地層が堆積した当時の環境を知ることができる化石を何というか。","示相化石","示準化石;標準化石;指標化石;生痕化石;古生物;化石;堆積物"
"中1","地学（地球）","地層が堆積した時代を知るのに役立つ化石を何というか。","示準化石","示相化石;標準化石;指標化石;生痕化石;古生物;化石;年代"
"中1","地学（地球）","アンモナイトの化石が発見された地層が堆積した時代は、古生代、中生代、新生代のいつか。","中生代","古生代;新生代;先カンブリア時代;原生代;白亜紀;ジュラ紀;第四紀"
"中1","地学（地球）","ナウマンゾウの化石が発見された地層が堆積した時代は、古生代、中生代、新生代のいつか。","新生代","古生代;中生代;先カンブリア時代;原生代;白亜紀;ジュラ紀;古第三紀"
"中1","地学（地球）","サンヨウチュウの化石が発見された地層が堆積した時代は、古生代、中生代、新生代のいつか。","古生代","中生代;新生代;先カンブリア時代;原生代;白亜紀;ジュラ紀;第四紀"
"中1","地学（地球）","サンゴの化石が発見された地層が堆積した当時の環境はどのようであったか。","あたたかくきれいな浅い海","冷たく深い海;寒い陸地;あたたかい湖;深い海;河口付近;乾燥した陸地;つめたい浅い海"
"中1","地学（地球）","水平に重なっている地層で、古い地層と考えられるのは、上の地層と下の地層のどちらか。","下の地層","上の地層"
"中1","地学（地球）","凝灰岩でできた地層が発見された地域では、冬至この付近でどのような大地の変化があったと考えられるか。","火山の噴火（火山活動）","地震;しゅう曲;断層運動;洪水;隆起;沈降;津波"
"中1","エネルギー（物理）","自ら光を出している物体のことを何というか。","光源","光線;反射光;像;発光体;明かり;光軸;焦点"
"中1","エネルギー（物理）","光が物体に当たってはね返ることを何というか。","反射","屈折;全反射;直進;乱反射;散乱;入射;透過"
"中1","エネルギー（物理）","光の反射で，入射角と反射角の関係を＝，＜，＞の記号で表すとどのように表せるか。","入射角＝反射角","入射角＞反射角;入射角＜反射角;入射角＝屈折角;反射角＝屈折角;入射角＝90°;入射角＋反射角＝90°;屈折角＝反射角"
"中1","エネルギー（物理）","鏡などに物体がうつって見ているものをその物体の何というか。","像","光源;焦点;影;反射;光線;実物;映像"
"中1","エネルギー（物理）","光が種類の異なる物質へ進むとき，物質の境界面で進む方向が変わる現象を何というか。","屈折","反射;全反射;直進;散乱;乱反射;回折;透過"
"中1","エネルギー（物理）","光が水中やガラス中から空気中に進むとき，入射角をある大きさ以上にすると，光がすべて境界面で反射する現象を何というか。","全反射","反射;屈折;乱反射;直進;散乱;回折;臨界反射"
"中1","エネルギー（物理）","凸レンズの軸に平行な光がレンズを通過したあと，屈折して集まる点のことを何というか。","焦点","焦点距離;光軸;光源;中心点;像;節点;頂点"
"中1","エネルギー（物理）","凸レンズの中心から焦点までの距離を何というか。","焦点距離","焦点;光軸;像距離;物体距離;曲率半径;直径;倍率"
"中1","エネルギー（物理）","物体を凸レンズの焦点の外側に置いたとき，レンズをはさんで物体と反対側にできる，物体と逆さまの像を何というか。","実像","虚像;正立像;焦点;光軸;影;映像;反射像"
"中1","エネルギー（物理）","凸レンズによってできる像が物体と同じ大きさになるのは，物体をどの位置に置いたときか。","焦点距離の2倍の位置","焦点の位置;焦点距離の位置;焦点の内側;焦点距離の半分の位置;焦点の外側;レンズの中心;焦点距離の3倍の位置"
"中1","エネルギー（物理）","物体を凸レンズの焦点上に置いたとき，像はどうなるか。","像はできない","実像ができる;虚像ができる;大きな像ができる;小さな像ができる;倒立像ができる;正立像ができる;同じ大きさの像ができる"
"中1","エネルギー（物理）","物体を凸レンズの焦点の内側に置いたとき，凸レンズの反対から見える像を何というか。","虚像","実像;倒立像;焦点;影;光軸;映像;反射像"
"中1","エネルギー（物理）","凸レンズを通して同じ向きに見える像の大きさは，どのように見えるか。","大きく見える","小さく見える;同じ大きさに見える;逆さまに見える;見えない;ぼやけて見える;変わらない;ゆがんで見える"
"中1","エネルギー（物理）","音が出ている物体はどのような運動をしているか。","振動","回転;移動;静止;往復運動;伸縮;変形;蛇行"
"中1","エネルギー（物理）","音と光では，どちらの伝わる速さが速いか。","光","音"
"中1","エネルギー（物理）","弦などが振動するはばのことを何というか。","振幅","振動数;周期;波長;音の高さ;弦の長さ;波形;音色"
"中1","エネルギー（物理）","一定時間(１秒間)に振動する回数のことを何というか。","振動数","振幅;周期;波長;音の大きさ;波形;弦の張り;弦の長さ"
"中1","エネルギー（物理）","弦の張り方が弱いほど，どのような音になるか。","低い音","高い音;大きい音;小さい音;変わらない音;すんだ音;にごった音;消える"
"中1","エネルギー（物理）","弦の太さが細いほど，どのような音になるか。","高い音","低い音;大きい音;小さい音;変わらない音;すんだ音;にごった音;やわらかい音"
"中1","エネルギー（物理）","弦の長さが長いほど，どのような音になるか。","低い音","高い音;大きい音;小さい音;変わらない音;すんだ音;にごった音;鋭い音"
"中1","エネルギー（物理）","弦を強く弾くほど，どのような音になるか。","大きい音","小さい音;高い音;低い音;変わらない音;すんだ音;にごった音;弱い音"
"中1","エネルギー（物理）","地球が物体を地球の中心に向かって引っ張ろうとする力を何というか。","重力","引力;磁力;摩擦力;弾性力;垂直抗力;張力;遠心力"
"中1","エネルギー（物理）","力の大きさの単位で，約100ｇの物体にはたらく重力の大きさはいくらか。","１ニュートン(N)","100N;10N;0.1N;9.8N;1000N;0.01N;1パスカル"
"中1","エネルギー（物理）","物体にはたらく重力の大きさのことを何というか。","重さ","質量;密度;体積;重量;圧力;力の大きさ;かさ"
"中1","エネルギー（物理）","力を矢印で表したとき，矢印の根元の点で，力のはたらいている点を何というか。","作用点","力点;支点;原点;接点;基点;重心;始点"
"中1","エネルギー（物理）","力を矢印で表したとき，矢印の長さは何を示すか。","力の大きさ","力の向き;作用点;力の種類;速さ;距離;質量;時間"
"中1","エネルギー（物理）","物体を面の上に置くと，物体がその面から垂直に受ける力を何というか。","抗力(垂直抗力)","摩擦力;重力;張力;弾性力;圧力;反発力;浮力"
"中1","エネルギー（物理）","物体を面の上に置き，物体を動かしたとき，物体を動かそうとする向きとは逆向きにはたらく力を何というか。","摩擦力","抗力;重力;張力;弾性力;垂直抗力;空気抵抗;慣性力"
"中1","エネルギー（物理）","１つの物体に２つの力がはたらいていて物体が動かないとき，これらの力の関係を何というか。","つり合っている","動き出す;加速する;合力が生じている;回転する;変形する;運動を始める;反発している"
"中1","エネルギー（物理）","２つの力がつり合うときの３つの条件とは何か。","力の大きさが同じ，力の向きが逆，一直線上にある","大きさが同じ・向きも同じ・一直線上にある;大きさがちがう・向きが逆・一直線上にある;大きさが同じ・向きが逆・平行である;大きさが同じ・向きが同じ・平行である;大きさがちがう・向きが同じ・一直線上にある;向きが逆・大きさちがう・平行;大きさ同じ・一点に集まる・向き逆"
"中1","エネルギー（物理）","面を垂直におす力〔N〕 力を受ける面積〔㎡〕 で表されるのは何か。","圧力〔Pa〕","力〔N〕;質量〔kg〕;面積〔㎡〕;仕事〔J〕;重力〔N〕;密度;張力"
"中1","エネルギー（物理）","圧力の大きさの単位Ｐａを何と読むか。","パスカル","ニュートン;ワット;ジュール;ヘルツ;ボルト;アンペア;オーム"
"中1","エネルギー（物理）","同じ大きさの力がはたらいているとき，面積が小さいほど，圧力はどうなるか。","大きくなる","小さくなる;変わらない;一定になる;半分になる"
"中1","エネルギー（物理）","地球をとりまく空気の重さによる圧力を何というか。","大気圧(気圧)","水圧;浮力;重力;標準気圧;気体の圧力;空気抵抗;張力"
"中1","エネルギー（物理）","海面上にはたらく大気圧の大きさは約1013Ｐａであるが，これは何気圧か。","１気圧","10気圧;0.1気圧;1013気圧;100気圧;2気圧;0.5気圧;1000気圧"
"中2","生命（生物）","脂肪は，消化されて２種類の物質になるが，何と何になるか。","脂肪酸，モノグリセリド","ブドウ糖とアミノ酸;脂肪酸とグリセリン;アミノ酸と脂肪酸;ブドウ糖と脂肪酸;グリセリンとブドウ糖;脂肪酸とアミノ酸;モノグリセリドとブドウ糖"
"中2","生命（生物）","糖の検出に用いる試薬で，糖をふくむ溶液とともに熱すると，赤かっ色の沈殿を生じる試薬は何か。","ベネジクト液","ヨウ素液;BTB溶液;石灰水;フェノールフタレイン溶液;リトマス紙;塩化コバルト紙;酢酸カーミン液"
"中2","生命（生物）","消化された養分が吸収される器官はどこか。","小腸","大腸;胃;肝臓;すい臓;十二指腸;食道;じん臓"
"中2","生命（生物）","小腸の内側のひだに無数にあり，消化された養分を効率よく吸収するはたらきをする小さな突起を何というか。","柔毛","繊毛;ぜん毛;肺胞;リンパ管;ひだ;突起;根毛"
"中2","生命（生物）","ブドウ糖とアミノ酸は，柔毛の中の毛細血管とリンパ管のどちらに入るか。","毛細血管","リンパ管"
"中2","生命（生物）","脂肪酸とグリセリンは，柔毛に吸収されふたたび脂肪となったあと，柔毛の中の毛細血管とリンパ管のどちらに入るか。","リンパ管","毛細血管"
"中2","生命（生物）","小腸で吸収されたブドウ糖とアミノ酸が，血管を通ってはじめに運ばれる器官はどこか。","肝臓","じん臓;すい臓;小腸;大腸;胃;ひ臓;胆のう"
"中2","生命（生物）","気管支の先についている小さな袋で，毛細血管に取り囲まれている部分を何というか。","肺胞","気管支;気管;肺;横隔膜;気のう;柔毛;毛細血管"
"中2","生命（生物）","血液の成分で，まるい形をしていて，酸素をからだの各部分に運ぶはたらきをするものを何というか。","赤血球","白血球;血小板;血しょう;ヘモグロビン;リンパ球;血球;血清"
"中2","生命（生物）","血液の成分で，からだの中に入ってきた細菌をとらえるはたらきをするものを何というか。","白血球","赤血球;血小板;血しょう;ヘモグロビン;リンパ液;抗体;血清"
"中2","生命（生物）","血液の液体の成分で，吸収された養分やからだの中でできた二酸化炭素などをとかしこんで運ぶものを何というか。","血しょう","赤血球;白血球;血小板;組織液;リンパ液;血清;ヘモグロビン"
"中2","生命（生物）","血液の成分で，出血したときに血液が固まるのに役立っているものを何というか。","血小板","赤血球;白血球;血しょう;フィブリン;ヘモグロビン;血清;リンパ球"
"中2","生命（生物）","赤血球にふくまれ，酸素の多いところでは酸素と結びつき，酸素の少ないところでは酸素をはなす性質がある物質は何か。","ヘモグロビン","赤血球;血しょう;血小板;白血球;フィブリン;グリコーゲン;インスリン"
"中2","生命（生物）","心臓から血液が送り出される血管を何というか。","動脈","静脈;毛細血管;大静脈;肺動脈;リンパ管;静脈血;動脈血"
"中2","生命（生物）","肺やからだの各部から心臓にもどる血液が流れる血管を何というか。","静脈","動脈;毛細血管;大動脈;肺静脈;リンパ管;静脈血;動脈血"
"中2","生命（生物）","血液が逆流しないように，静脈のところどころにあるものを何というか。","弁","こぶ;節;血栓;しわ;突起;くびれ;ふくらみ"
"中2","生命（生物）","二酸化炭素を多くふくんだ血液を何というか。","静脈血","動脈血;静脈;動脈;毛細血管;血しょう;赤血球;リンパ液"
"中2","生命（生物）","酸素を多くふくんだ血液を何というか。","動脈血","静脈血;動脈;静脈;毛細血管;血しょう;赤血球;リンパ液"
"中2","生命（生物）","ヒトの体内にできたアンモニアは，何という物質に変えられて排出されるか。","尿素","アンモニア;二酸化炭素;尿酸;尿;アミノ酸;窒素;たんぱく質"
"中2","生命（生物）","ヒトのからだの中で，有害なアンモニアを毒性の弱い物質につくり変える器官はどこか。","肝臓","じん臓;すい臓;ひ臓;小腸;大腸;胃;ぼうこう"
"中2","生命（生物）","尿素などの不要物血液中からこしとるはたらきをもつ，ソラマメのような形をした器官を何というか。","じん臓","肝臓;ぼうこう;すい臓;ひ臓;尿管;副じん;小腸"
"中2","生命（生物）","背骨のある動物を何というか。","セキツイ動物","無セキツイ動物;軟体動物;節足動物;こうかく類;昆虫類;ホニュウ類;魚類"
"中2","生命（生物）","背骨のない動物を何というか。","無セキツイ動物","セキツイ動物;ホニュウ類;鳥類;魚類;両生類;ハチュウ類;脊椎動物"
"中2","生命（生物）","セキツイ動物で，子のときはえらで呼吸し，成長すると肺と皮膚で呼吸する動物のなかまを何というか。","両生類","魚類;ハチュウ類;鳥類;ホニュウ類;こうかく類;軟体動物;節足動物"
"中2","生命（生物）","セキツイ動物で，からだは羽毛でおおわれていて，殻のある卵を陸上にうみ，肺で呼吸する動物のなかまを何というか。","鳥類","ハチュウ類;ホニュウ類;両生類;魚類;こん虫類;節足動物;軟体動物"
"中2","生命（生物）","セキツイ動物で，からだはふつう毛でおおわれ，子をうみ，親の乳で子を育てる動物のなかまを何というか。","ホニュウ類","鳥類;ハチュウ類;両生類;魚類;こん虫類;軟体動物;節足動物"
"中2","生命（生物）","卵をうみ，卵から子がかえるというなかまのふやし方を何というか。","卵生","胎生;卵胎生;出芽;分裂;胞子生殖;栄養生殖;受精"
"中2","生命（生物）","子が母体内である程度まで育ってからうまれるというなかまのふやし方を何というか。","胎生","卵生;卵胎生;出芽;分裂;胞子生殖;栄養生殖;発生"
"中2","生命（生物）","まわりの温度が変わっても体温を一定に保つことができる動物を何というか。","恒温動物","変温動物;ハチュウ類;両生類;魚類;冷血動物;無セキツイ動物;こうかく類"
"中2","生命（生物）","まわりの温度が変わるにつれて体温も変化する動物を何というか。","変温動物","恒温動物;ホニュウ類;鳥類;温血動物;定温動物;こう温動物;セキツイ動物"
"中2","生命（生物）","セキツイ動物のうち，恒温動物はホニュウ類と何類か。","鳥類","ハチュウ類;両生類;魚類;こん虫類;軟体動物;節足動物;ホニュウ類"
"中2","生命（生物）","からだが１個の細胞でできている生物を何というか。","単細胞生物","多細胞生物;原生生物;細菌類;原核生物;微生物;群体生物;ゾウリムシ"
"中2","生命（生物）","細胞のつくりで，ふつう１個の細胞に１個あり，染色液などで赤く染まる部分を何というか。","核","細胞膜;細胞質;細胞壁;葉緑体;液胞;ミトコンドリア;染色体"
"中2","生命（生物）","細胞のつくりで，細胞が包まれているうすい膜を何というか。","細胞膜","細胞壁;核;細胞質;液胞;葉緑体;原形質;核膜"
"中2","生命（生物）","植物の細胞で，植物のからだを支えるのに役立っているじょうぶなつくりを何というか。","細胞壁","細胞膜;核;細胞質;液胞;葉緑体;表皮;クチクラ"
