"学年","範囲","問題","答え","誤答候補"
"連立方程式","加減法","x + 2y = 8, 4x + y = 4","x=0, y=4","x=0, y=-4;x=4, y=0;x=1, y=3;x=-1, y=5"
"連立方程式","加減法","4x - y = -20, 4x - 4y = -32","x=-4, y=4","x=4, y=4;x=-4, y=-4;x=4, y=-4;x=-3, y=3"
"連立方程式","加減法","3x - 3y = -6, -x - 3y = 14","x=-5, y=-3","x=5, y=-3;x=-5, y=3;x=5, y=3;x=-3, y=-5"
"連立方程式","加減法","-x + y = 1, 2x - 3y = 1","x=-4, y=-3","x=4, y=-3;x=-4, y=3;x=4, y=3;x=-3, y=-4"
"連立方程式","加減法","-x + y = -7, -2x - y = -2","x=3, y=-4","x=-3, y=-4;x=3, y=4;x=-3, y=4;x=-4, y=3"
"連立方程式","加減法","-4x - 3y = -32, x - 4y = -11","x=5, y=4","x=-5, y=4;x=5, y=-4;x=-5, y=-4;x=4, y=5"
"連立方程式","加減法","-3x + 3y = 9, -4x - y = -18","x=3, y=6","x=-3, y=6;x=3, y=-6;x=-3, y=-6;x=6, y=3"
"連立方程式","加減法","-x - 3y = 8, -4x - 3y = -4","x=4, y=-4","x=-4, y=-4;x=4, y=4;x=-4, y=4;x=5, y=-5"
"連立方程式","加減法","3x + y = -3, 3x + 2y = -9","x=1, y=-6","x=-1, y=-6;x=1, y=6;x=-1, y=6;x=-6, y=1"
"連立方程式","加減法","-4x + 2y = -16, -3x + 3y = -9","x=5, y=2","x=-5, y=2;x=5, y=-2;x=-5, y=-2;x=2, y=5"
"連立方程式","加減法","-2x + y = 2, 4x + 3y = 26","x=2, y=6","x=-2, y=6;x=2, y=-6;x=-2, y=-6;x=6, y=2"
"連立方程式","かっこを含む式","3(x + 2) = 2y - 16, 4x + 2y = -6","x=-4, y=5","x=4, y=5;x=-4, y=-5;x=4, y=-5;x=5, y=-4"
"連立方程式","かっこを含む式","2(x - 3) = -2y - 8, -3x + 2y = 18","x=-4, y=3","x=4, y=3;x=-4, y=-3;x=4, y=-3;x=3, y=-4"
"連立方程式","かっこを含む式","3(x + 3) = 2y + 22, 2x - y = 9","x=5, y=1","x=-5, y=1;x=5, y=-1;x=-5, y=-1;x=1, y=5"
"連立方程式","かっこを含む式","4(x + 3) = 2y - 10, -4x - 3y = 7","x=-4, y=3","x=4, y=3;x=-4, y=-3;x=4, y=-3;x=3, y=-4"
"連立方程式","かっこを含む式","4(x - 3) = 3y - 41, x - 3y = -14","x=-5, y=3","x=5, y=3;x=-5, y=-3;x=5, y=-3;x=3, y=-5"
"連立方程式","かっこを含む式","2(x - 2) = -3y - 7, x + 4y = -4","x=0, y=-1","x=0, y=1;x=-1, y=0;x=1, y=-2;x=2, y=-1"
"連立方程式","かっこを含む式","3(x + 1) = -2y - 9, 4x - y = -5","x=-2, y=-3","x=2, y=-3;x=-2, y=3;x=2, y=3;x=-3, y=-2"
"連立方程式","かっこを含む式","3(x + 1) = -2y - 5, 3x + 3y = -6","x=-4, y=2","x=4, y=2;x=-4, y=-2;x=4, y=-2;x=2, y=-4"
"連立方程式","かっこを含む式","4(x - 3) = 3y - 4, -4x - y = -8","x=2, y=0","x=-2, y=0;x=0, y=2;x=3, y=-1;x=1, y=1"
"連立方程式","かっこを含む式","2(x + 1) = 2y + 8, -x - y = -3","x=3, y=0","x=-3, y=0;x=0, y=3;x=4, y=-1;x=2, y=1"
"連立方程式","かっこを含む式","3(x - 1) = 2y - 15, 4x + y = -16","x=-4, y=0","x=4, y=0;x=0, y=-4;x=-3, y=-1;x=-5, y=1"
"連立方程式","かっこを含む式","3(x + 3) = -2y + 16, -4x - 4y = -16","x=-1, y=5","x=1, y=5;x=-1, y=-5;x=1, y=-5;x=5, y=-1"
"連立方程式","かっこを含む式","3(x + 2) = 2y + 17, 4x + 3y = 9","x=3, y=-1","x=-3, y=-1;x=3, y=1;x=-3, y=1;x=-1, y=3"
"連立方程式","かっこを含む式","3(x - 2) = -3y + 12, -x + 4y = 9","x=3, y=3","x=-3, y=3;x=3, y=-3;x=-3, y=-3;x=4, y=2"
"連立方程式","かっこを含む式","2(x - 3) = -3y - 19, -4x - y = 1","x=1, y=-5","x=-1, y=-5;x=1, y=5;x=-1, y=5;x=-5, y=1"
"連立方程式","かっこを含む式","2(x - 2) = 2y - 8, 4x + 4y = 8","x=0, y=2","x=0, y=-2;x=2, y=0;x=1, y=1;x=-1, y=3"
"連立方程式","かっこを含む式","2(x - 2) = 3y - 14, -x + y = 3","x=1, y=4","x=-1, y=4;x=1, y=-4;x=-1, y=-4;x=4, y=1"
"連立方程式","かっこを含む式","2(x - 1) = -2y - 8, -3x + 2y = -11","x=1, y=-4","x=-1, y=-4;x=1, y=4;x=-1, y=4;x=-4, y=1"
"連立方程式","かっこを含む式","3(x + 2) = 2y - 4, 3x - 3y = -9","x=-4, y=-1","x=4, y=-1;x=-4, y=1;x=4, y=1;x=-1, y=-4"
"連立方程式","かっこを含む式","4(x + 1) = 2y + 28, -x - 2y = -1","x=5, y=-2","x=-5, y=-2;x=5, y=2;x=-5, y=2;x=-2, y=5"
"連立方程式","小数をふくむ式","0.2x + 0.4y = -1.4, -x + 3y = 2","x=-5, y=-1","x=5, y=-1;x=-5, y=1;x=5, y=1;x=-1, y=-5"
"連立方程式","小数をふくむ式","0.3x + 0.3y = 0.3, 3x - 3y = -21","x=-3, y=4","x=3, y=4;x=-3, y=-4;x=3, y=-4;x=4, y=-3"
"連立方程式","小数をふくむ式","0.6x + 0.6y = 0, -4x - y = 15","x=-5, y=5","x=5, y=5;x=-5, y=-5;x=5, y=-5;x=-4, y=4"
"連立方程式","小数をふくむ式","-0.1x - 0.2y = -0.3, x - 3y = -17","x=-5, y=4","x=5, y=4;x=-5, y=-4;x=5, y=-4;x=4, y=-5"
"連立方程式","小数をふくむ式","0.5x + 0.5y = -2.5, 2x - 4y = -10","x=-5, y=0","x=5, y=0;x=0, y=-5;x=-4, y=-1;x=-6, y=1"
"連立方程式","小数をふくむ式","0.4x - 0.1y = -0.4, -x - 4y = 1","x=-1, y=0","x=1, y=0;x=0, y=-1;x=-2, y=1;x=-1, y=2"
"連立方程式","小数をふくむ式","0.4x - 0.6y = -2.8, -4x + y = 8","x=-1, y=4","x=1, y=4;x=-1, y=-4;x=1, y=-4;x=4, y=-1"
"連立方程式","小数をふくむ式","-0.6x - 0.3y = 0.6, 3x - 2y = -3","x=-1, y=0","x=1, y=0;x=0, y=-1;x=-2, y=1;x=-1, y=2"
"連立方程式","小数をふくむ式","0.4x + 0.2y = 0.8, -3x + 4y = 5","x=1, y=2","x=-1, y=2;x=1, y=-2;x=-1, y=-2;x=2, y=1"
"連立方程式","小数をふくむ式","0.2x + 0.4y = 0.6, -x + 2y = -3","x=3, y=0","x=-3, y=0;x=0, y=3;x=4, y=-1;x=2, y=1"
"連立方程式","小数をふくむ式","0.4x + 0.1y = 2.1, -4x + 3y = -1","x=4, y=5","x=-4, y=5;x=4, y=-5;x=-4, y=-5;x=5, y=4"
"連立方程式","小数をふくむ式","-0.5x - 0.1y = -0.8, -3x - 4y = 2","x=2, y=-2","x=-2, y=-2;x=2, y=2;x=-2, y=2;x=3, y=-3"
"連立方程式","小数をふくむ式","0.1x - 0.5y = -1.7, 3x + y = -3","x=-2, y=3","x=2, y=3;x=-2, y=-3;x=2, y=-3;x=3, y=-2"
"連立方程式","小数をふくむ式","-0.1x - 0.6y = 0.3, -3x - 2y = -7","x=3, y=-1","x=-3, y=-1;x=3, y=1;x=-3, y=1;x=-1, y=3"
"連立方程式","小数をふくむ式","-0.2x + 0.5y = -0.7, x - 2y = 2","x=-4, y=-3","x=4, y=-3;x=-4, y=3;x=4, y=3;x=-3, y=-4"
"連立方程式","小数をふくむ式","0.1x - 0.5y = -0.4, 4x + 2y = 6","x=1, y=1","x=-1, y=1;x=1, y=-1;x=-1, y=-1;x=2, y=0"
"連立方程式","小数をふくむ式","-0.3x - 0.1y = 0.4, -x + 2y = -8","x=0, y=-4","x=0, y=4;x=-4, y=0;x=1, y=-5;x=-1, y=-3"
"連立方程式","小数をふくむ式","-0.2x - 0.5y = 0.7, 3x - 3y = 0","x=-1, y=-1","x=1, y=-1;x=-1, y=1;x=1, y=1;x=0, y=-2"
"連立方程式","小数をふくむ式","0.5x + 0.3y = 1.4, -x - 2y = -7","x=1, y=3","x=-1, y=3;x=1, y=-3;x=-1, y=-3;x=3, y=1"
"連立方程式","小数をふくむ式","-0.4x - 0.1y = -0.1, -3x + y = 8","x=-1, y=5","x=1, y=5;x=-1, y=-5;x=1, y=-5;x=5, y=-1"
"連立方程式","分数をふくむ式","-x/2 - y/3 = -19/6, -2x + 2y = 4","x=3, y=5","x=-3, y=5;x=3, y=-5;x=-3, y=-5;x=5, y=3"
"連立方程式","分数をふくむ式","x/4 - y/2 = -1, -x - y = -11","x=6, y=5","x=-6, y=5;x=6, y=-5;x=-6, y=-5;x=5, y=6"
"連立方程式","分数をふくむ式","x/3 - y/3 = 10/3, -2x - 4y = 10","x=5, y=-5","x=-5, y=-5;x=5, y=5;x=-5, y=5;x=6, y=-6"
"連立方程式","分数をふくむ式","-x/3 - y/2 = -1/2, 4x - 4y = -4","x=0, y=1","x=0, y=-1;x=1, y=0;x=-1, y=2;x=2, y=1"
"連立方程式","分数をふくむ式","x/6 - y/3 = 2, 4x - y = 6","x=0, y=-6","x=0, y=6;x=-6, y=0;x=1, y=-7;x=-1, y=-5"
"連立方程式","分数をふくむ式","x/4 - y/4 = -1, 2x - 3y = -11","x=-1, y=3","x=1, y=3;x=-1, y=-3;x=1, y=-3;x=3, y=-1"
"連立方程式","分数をふくむ式","-x/3 - y/2 = -1, 2x + y = -6","x=-6, y=6","x=6, y=6;x=-6, y=-6;x=6, y=-6;x=-5, y=5"
"連立方程式","分数をふくむ式","x/2 + y/2 = 9/2, x - 2y = -9","x=3, y=6","x=-3, y=6;x=3, y=-6;x=-3, y=-6;x=6, y=3"
"連立方程式","分数をふくむ式","x/4 - y/2 = 4, -2x - y = -2","x=4, y=-6","x=-4, y=-6;x=4, y=6;x=-4, y=6;x=-6, y=4"
"連立方程式","分数をふくむ式","-x/3 + y/2 = 1/3, -2x - 4y = 16","x=-4, y=-2","x=4, y=-2;x=-4, y=2;x=4, y=2;x=-2, y=-4"
"連立方程式","分数をふくむ式","-x/3 + y/4 = 11/12, x + y = -8","x=-5, y=-3","x=5, y=-3;x=-5, y=3;x=5, y=3;x=-3, y=-5"
"連立方程式","分数をふくむ式","-x/4 + y/3 = -5/3, -2x + 4y = -16","x=4, y=-2","x=-4, y=-2;x=4, y=2;x=-4, y=2;x=-2, y=4"
"連立方程式","分数をふくむ式","-x/3 - y/3 = 2/3, 4x + 3y = -10","x=-4, y=2","x=4, y=2;x=-4, y=-2;x=4, y=-2;x=2, y=-4"
"連立方程式","分数をふくむ式","-x/6 + y/3 = 1/3, -4x + 2y = -16","x=6, y=4","x=-6, y=4;x=6, y=-4;x=-6, y=-4;x=4, y=6"
"連立方程式","分数をふくむ式","x/3 - y/6 = -3/2, -2x - 2y = 18","x=-6, y=-3","x=6, y=-3;x=-6, y=3;x=6, y=3;x=-3, y=-6"
"連立方程式","分数をふくむ式","-x/4 - y/3 = -5/4, 3x + 3y = 12","x=1, y=3","x=-1, y=3;x=1, y=-3;x=-1, y=-3;x=3, y=1"
"連立方程式","分数をふくむ式","-x/6 - y/2 = 11/6, -3x - 2y = -2","x=4, y=-5","x=-4, y=-5;x=4, y=5;x=-4, y=5;x=-5, y=4"
"連立方程式","分数をふくむ式","x/2 + y/4 = -3/2, -x + 4y = -24","x=0, y=-6","x=0, y=6;x=-6, y=0;x=1, y=-7;x=-1, y=-5"
"連立方程式","分数をふくむ式","x/6 + y/6 = -5/3, 3x + 4y = -36","x=-4, y=-6","x=4, y=-6;x=-4, y=6;x=4, y=6;x=-6, y=-4"
"連立方程式","分数をふくむ式","x/6 - y/4 = -17/12, -3x - 4y = -17","x=-1, y=5","x=1, y=5;x=-1, y=-5;x=1, y=-5;x=5, y=-1"
"連立方程式","A＝B＝C の形","-3x - 3y - 30 = 3x - 3y = 0","x=-5, y=-5","x=5, y=-5;x=-5, y=5;x=5, y=5;x=-4, y=-6"
"連立方程式","A＝B＝C の形","x - 2y + 2 = x + y - 1 = 5","x=5, y=1","x=-5, y=1;x=5, y=-1;x=-5, y=-1;x=1, y=5"
"連立方程式","A＝B＝C の形","-3x + 10 = -2x + y + 3 = 1","x=3, y=4","x=-3, y=4;x=3, y=-4;x=-3, y=-4;x=4, y=3"
"連立方程式","A＝B＝C の形","-3x + y + 14 = -3x + 3y + 18 = 3","x=3, y=-2","x=-3, y=-2;x=3, y=2;x=-3, y=2;x=-2, y=3"
"連立方程式","A＝B＝C の形","2x - 3y + 13 = -3x - y - 7 = -6","x=-2, y=5","x=2, y=5;x=-2, y=-5;x=2, y=-5;x=5, y=-2"
"連立方程式","A＝B＝C の形","2x - 2y + 12 = -2x - y - 4 = -2","x=-3, y=4","x=3, y=4;x=-3, y=-4;x=3, y=-4;x=4, y=-3"
"連立方程式","A＝B＝C の形","x + 2y + 1 = -2x + 2y + 7 = -5","x=2, y=-4","x=-2, y=-4;x=2, y=4;x=-2, y=4;x=-4, y=2"
"連立方程式","A＝B＝C の形","-3x - y + 6 = x - 2y - 17 = -6","x=5, y=-3","x=-5, y=-3;x=5, y=3;x=-5, y=3;x=-3, y=5"
"連立方程式","A＝B＝C の形","-2x - 2y + 8 = 3x - 2y - 12 = 6","x=4, y=-3","x=-4, y=-3;x=4, y=3;x=-4, y=3;x=-3, y=4"
"連立方程式","A＝B＝C の形","-2x + 3y - 3 = -x + y - 3 = -2","x=-2, y=-1","x=2, y=-1;x=-2, y=1;x=2, y=1;x=-1, y=-2"
"連立方程式","A＝B＝C の形","-3x - 3y - 17 = 2x + 3y + 12 = -2","x=-1, y=-4","x=1, y=-4;x=-1, y=4;x=1, y=4;x=-4, y=-1"
"連立方程式","A＝B＝C の形","x - 2y - 14 = x - y - 9 = -3","x=1, y=-5","x=-1, y=-5;x=1, y=5;x=-1, y=5;x=-5, y=1"
"連立方程式","A＝B＝C の形","-3x - 7 = -x + y + 2 = 2","x=-3, y=-3","x=3, y=-3;x=-3, y=3;x=3, y=3;x=-2, y=-4"
"連立方程式","A＝B＝C の形","3x - 3y - 9 = -x + 8 = 6","x=2, y=-3","x=-2, y=-3;x=2, y=3;x=-2, y=3;x=-3, y=2"
"連立方程式","A＝B＝C の形","x + 3y - 8 = 3x + 2y + 3 = 4","x=-3, y=5","x=3, y=5;x=-3, y=-5;x=3, y=-5;x=5, y=-3"
"連立方程式","A＝B＝C の形","-3x - 2y + 15 = 2x + y - 9 = 0","x=3, y=3","x=-3, y=3;x=3, y=-3;x=-3, y=-3;x=4, y=2"
"連立方程式","A＝B＝C の形","x + 2y - 3 = 3x - y - 11 = 1","x=4, y=0","x=-4, y=0;x=0, y=4;x=5, y=-1;x=3, y=1"
"連立方程式","A＝B＝C の形","-x - 3y + 14 = -2x - 2y + 11 = 1","x=1, y=4","x=-1, y=4;x=1, y=-4;x=-1, y=-4;x=4, y=1"
"連立方程式","A＝B＝C の形","-x - 2y + 5 = -3x + 3y - 1 = -1","x=2, y=2","x=-2, y=2;x=2, y=-2;x=-2, y=-2;x=3, y=1"
"連立方程式","A＝B＝C の形","x + 2y - 2 = -x - 3y - 7 = -3","x=5, y=-3","x=-5, y=-3;x=5, y=3;x=-5, y=3;x=-3, y=5"
